"estacao","cidade","estado","dia_maior_variacao","maior_variacao","temperatura_max","temperatura_min","media_variacao"
"S. G. Da Cachoeira","São Gabriel da Cachoeira","AM","2015-09-27","15.6","37.7","22.1","8.23"
"Maues","Maués","AM","2011-10-05","15.5","39.5","24.0","8.79"
"Itaituba","Itaituba","PA","2012-08-04","15.4","35.5","20.1","8.77"
"Castanhal","Castanhal","PA","2012-10-24","15.2","36.3","21.1","9.08"
"Breves","Breves","PA","2017-11-13","15.1","35.6","20.5","9.35"
"Altamira","Altamira","PA","2022-09-20","15.0","37.3","22.3","9.24"
"Porto Grande","Porto Grande","AP","2023-09-26","14.9","37.2","22.3","8.91"
"Urucara","Urucará","AM","2012-11-06","14.9","37.7","22.8","8.92"
"Ze Doca","Zé Doca","MA","2020-10-08","14.9","37.0","22.1","9.50"
"Medicilandia","Medicilândia","PA","2012-08-03","14.7","34.3","19.6","8.40"
"Tucurui","Tucuruí","PA","2023-10-14","14.3","36.9","22.6","8.06"
"Itaubal","Itaubal","AP","2017-12-12","14.0","37.7","23.7","8.64"
"Monte Alegre","Monte Alegre","PA","2013-11-04","12.7","33.9","21.2","7.59"
"Santarem","Santarém","PA","2015-11-07","12.3","35.2","22.9","6.79"
"Macapa","Macapá","AP","2023-09-22","12.0","34.2","22.2","7.67"
"Sao Luis","São Luís","MA","2014-08-22","10.9","33.4","22.5","6.44"
"Soure","Soure","PA","2019-07-30","10.6","31.9","21.3","5.61"
