ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;WDPAID
844;0000.35.0844;;PARQUE ESTADUAL DA CANTAREIRA;Estadual;Parque;Category II;SP;1968;1968;Lei ordinária 10228 de 24/09/1968;Sem informação.;CAIEIRAS (SP) - GUARULHOS (SP) - MAIRIPORÃ (SP) - SÃO PAULO (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;7.620;7.620;0;;0;0;0;7.620;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;4912
1685;0000.35.1685;;RESERVA EXTRATIVISTA ILHA DO TUMBA;Estadual;Reserva Extrativista;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;CANANÉIA (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;1.127;1.127;1128,26;;0;0;0;1.127;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555576373
1686;0000.35.1686;;RESERVA EXTRATIVISTA TAQUARI;Estadual;Reserva Extrativista;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;CANANÉIA (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;1.660;1.660;1662,2;;0;0;0;1.660;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555576159
1688;0000.35.1688;;RDS BARREIRO ANHEMAS;Estadual;Reserva de Desenvolvimento Sustentável;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;BARRA DO TURVO (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;3.269;3.269;3.175;;0;0;0;3.269;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576409
1691;0000.35.1691;;RDS DOS PINHEIRINHOS;Estadual;Reserva de Desenvolvimento Sustentável;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;BARRA DO TURVO (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;1.530;1.530;1531,09;;0;0;0;1.530;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576217
1692;0000.35.1692;;RDS QUILOMBOS DE BARRA DO TURVO;Estadual;Reserva de Desenvolvimento Sustentável;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;BARRA DO TURVO (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;5.822;5.822;5.826;;0;0;0;5.822;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576229
1693;0000.35.1693;;RDS ITAPANHAPIMA;Estadual;Reserva de Desenvolvimento Sustentável;Category VI;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;CANANÉIA (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;1.241;1.241;1242,7;;0;0;0;1.241;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555576260
1696;0000.35.1696;;APA CAJAMAR;Estadual;Área de Proteção Ambiental;Category V;SP;1984;1984;Lei ordinária 4055 de 04/06/1984;Sem informação.;CAJAMAR (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;13.081;13.081;13400;;0;0;0;13.081;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576232
1697;0000.35.1697;;APA CAJATI;Estadual;Área de Proteção Ambiental;Category V;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;CAJATI (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;2.972;2.972;2.976;;0;0;0;2.972;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576201
1698;0000.35.1698;;APA CAMPOS DO JORDÃO;Estadual;Área de Proteção Ambiental;Category V;SP;1984;1984;Lei ordinária 4105 de 26/06/1984;Sem informação.;CAMPOS DO JORDÃO (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;28.887;28.887;0;;0;0;0;28.887;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;Mantiqueira;555576354
